timestamp,open,high,low,close,volume
2017-03-03,338.46,338.46,338.46,338.46,0
2017-03-06,336.06,336.06,336.06,336.06,0
2017-03-07,335.14,335.14,335.14,335.14,0
2017-03-08,334.44,334.44,334.44,334.44,0
2017-03-09,332.86,332.86,332.86,332.86,0
2017-03-10,332.7,332.7,332.7,332.7,0
2017-03-13,334.22,334.22,334.22,334.22,0
2017-03-14,332.99,332.99,332.99,332.99,0
2017-03-15,337.28,337.28,337.28,337.28,0
2017-03-16,335.46,335.46,335.46,335.46,0
2017-03-17,335.72,335.72,335.72,335.72,0
2017-03-20,334.91,334.91,334.91,334.91,0
2017-03-21,331.76,331.76,331.76,331.76,0
2017-03-22,332.81,332.81,332.81,332.81,0
2017-03-23,334.36,334.36,334.36,334.36,0
2017-03-24,333.23,333.23,333.23,333.23,0
2017-03-27,331.76,331.76,331.76,331.76,0
2017-03-28,333.82,333.82,333.82,333.82,0
2017-03-29,335.76,335.76,335.76,335.76,0
2017-03-30,337.35,337.35,337.35,337.35,0
2017-03-31,339.99,339.99,339.99,339.99,0
2017-04-03,339.83,339.83,339.83,339.83,0
2017-04-04,339.69,339.69,339.69,339.69,0
2017-04-05,339.96,339.96,339.96,339.96,0
2017-04-06,341.76,341.76,341.76,341.76,0
2017-04-07,343.03,343.03,343.03,343.03,0
2017-04-10,343.58,343.58,343.58,343.58,0
2017-04-11,344.05,344.05,344.05,344.05,0
2017-04-12,343.05,343.05,343.05,343.05,0
2017-04-13,341.36,341.36,341.36,341.36,0
2017-04-18,340.89,340.89,340.89,340.89,0
2017-04-19,340.48,340.48,340.48,340.48,0
2017-04-20,338.8,338.8,338.8,338.8,0
2017-04-21,341.67,341.67,341.67,341.67,0
2017-04-24,341.33,341.33,341.33,341.33,0
2017-04-25,341.67,341.67,341.67,341.67,0
2017-04-26,343.47,343.47,343.47,343.47,0
2017-04-27,344.55,344.55,344.55,344.55,0
2017-04-28,342.98,342.98,342.98,342.98,0
2017-05-02,343.26,343.26,343.26,343.26,0
2017-05-03,342.97,342.97,342.97,342.97,0
2017-05-04,343.25,343.25,343.25,343.25,0
2017-05-05,345.24,345.24,345.24,345.24,0
2017-05-08,345.74,345.74,345.74,345.74,0
2017-05-09,346.39,346.39,346.39,346.39,0
2017-05-10,347.42,347.42,347.42,347.42,0
2017-05-11,345.59,345.59,345.59,345.59,0
2017-05-12,344.06,344.06,344.06,344.06,0
2017-05-15,343.05,343.05,343.05,343.05,0
2017-05-16,340.07,340.07,340.07,340.07,0
2017-05-17,335.07,335.07,335.07,335.07,0
2017-05-18,333.84,333.84,333.84,333.84,0
2017-05-19,336.19,336.19,336.19,336.19,0
2017-05-22,335.41,335.41,335.41,335.41,0
2017-05-23,337.22,337.22,337.22,337.22,0
2017-05-24,339.12,339.12,339.12,339.12,0
2017-05-26,339.09,339.09,339.09,339.09,0
2017-05-30,339.77,339.77,339.77,339.77,0
2017-05-31,338.83,338.83,338.83,338.83,0
2017-06-01,341.87,341.87,341.87,341.87,0
2017-06-02,340.98,340.98,340.98,340.98,0
2017-06-06,337.6,337.6,337.6,337.6,0
2017-06-07,337.67,337.67,337.67,337.67,0
2017-06-08,338.12,338.12,338.12,338.12,0
2017-06-09,339.57,339.57,339.57,339.57,0
2017-06-12,338.46,338.46,338.46,338.46,0
2017-06-13,340.09,340.09,340.09,340.09,0
2017-06-14,339.55,339.55,339.55,339.55,0
2017-06-15,341.67,341.67,341.67,341.67,0
2017-06-16,342.29,342.29,342.29,342.29,0
2017-06-19,344.25,344.25,344.25,344.25,0
2017-06-20,342.35,342.35,342.35,342.35,0
2017-06-21,340.8,340.8,340.8,340.8,0
2017-06-22,340.74,340.74,340.74,340.74,0
2017-06-26,341.17,341.17,341.17,341.17,0
2017-06-27,336.3,336.3,336.3,336.3,0
2017-06-28,335.71,335.71,335.71,335.71,0
2017-06-29,331.14,331.14,331.14,331.14,0
2017-06-30,332.12,332.12,332.12,332.12,0
2017-07-03,333.57,333.57,333.57,333.57,0
2017-07-05,333.85,333.85,333.85,333.85,0
2017-07-06,329.77,329.77,329.77,329.77,0
2017-07-10,333.02,333.02,333.02,333.02,0
2017-07-11,331.72,331.72,331.72,331.72,0
2017-07-12,335.84,335.84,335.84,335.84,0
2017-07-13,336.57,336.57,336.57,336.57,0
2017-07-14,337.15,337.15,337.15,337.15,0
2017-07-17,337.18,337.18,337.18,337.18,0
2017-07-18,333.48,333.48,333.48,333.48,0
2017-07-19,336.76,336.76,336.76,336.76,0
2017-07-20,334.08,334.08,334.08,334.08,0
2017-07-21,333.36,333.36,333.36,333.36,0
2017-07-24,332.05,332.05,332.05,332.05,0
2017-07-25,331.15,331.15,331.15,331.15,0
2017-07-26,331.81,331.81,331.81,331.81,0
